"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"86","1993","11","Tamil Nadu","Salem","0.09","0.92","10.61","31.93","100.42","60.84","50.02","65.03","62.7","218.19","122.1","91.59"
"86","1994","11","Tamil Nadu","Salem","1.93","9.43","3.46","60.91","119.26","37.27","72.61","69.6","67.32","262.2","103.05","19.36"
"86","1995","11","Tamil Nadu","Salem","36.98","1.9","16.14","45.32","95.78","56.74","76.04","168.55","98.42","128.58","60.57","1.82"
"86","1996","11","Tamil Nadu","Salem","7.32","4.39","5.58","49.06","58.62","77.08","51.82","123.0","80.76","142.49","37.96","77.97"
"86","1997","11","Tamil Nadu","Salem","10.88","0.0","21.75","52.94","53.25","53.22","48.15","109.19","109.12","309.24","221.9","83.26"
"86","1998","11","Tamil Nadu","Salem","4.19","2.31","1.48","27.52","122.85","24.45","114.76","194.51","112.58","221.16","120.0","135.0"
"86","1999","11","Tamil Nadu","Salem","3.41","9.99","2.38","62.57","115.25","47.64","46.92","68.47","94.97","267.63","110.65","31.89"
"86","2000","11","Tamil Nadu","Salem","8.92","13.75","0.79","59.89","76.89","38.9","59.93","188.08","198.38","214.8","109.91","55.94"
"86","2001","11","Tamil Nadu","Salem","22.86","3.86","1.13","99.63","42.08","30.58","92.28","73.46","115.92","225.56","70.13","46.68"
"86","2002","11","Tamil Nadu","Salem","12.18","1.98","2.73","10.38","117.84","64.51","28.93","59.08","71.84","293.31","108.14","20.48"
"86","2003","11","Tamil Nadu","Salem","3.12","7.5","10.91","58.98","48.61","48.52","96.73","138.51","59.13","232.87","76.63","8.07"
"86","2004","11","Tamil Nadu","Salem","19.5","5.32","5.19","43.59","199.34","58.26","115.36","61.51","241.92","230.0","69.91","14.04"
"86","2005","11","Tamil Nadu","Salem","17.25","7.7","7.69","68.94","98.37","36.7","95.39","99.53","98.09","312.43","137.87","71.96"
"86","2006","11","Tamil Nadu","Salem","12.65","0.4","75.36","31.83","85.14","60.41","48.5","70.7","103.35","259.58","98.49","3.72"
"86","2007","11","Tamil Nadu","Salem","4.67","10.08","1.62","77.16","111.97","40.97","124.85","147.03","153.55","226.99","69.42","75.3"
"86","2008","11","Tamil Nadu","Salem","10.75","26.07","74.24","40.4","41.54","60.96","119.21","242.25","91.69","302.01","134.91","29.09"
"86","2009","11","Tamil Nadu","Salem","6.3","0.19","24.4","35.2","102.56","84.25","31.97","135.29","145.66","67.8","172.35","76.88"
"86","2010","11","Tamil Nadu","Salem","7.98","0.89","3.36","55.54","85.71","52.77","117.98","101.36","196.09","219.88","191.42","52.98"
"86","2011","11","Tamil Nadu","Salem","8.02","44.69","0.49","76.74","74.55","37.02","74.89","151.57","99.88","203.54","117.98","52.81"
"86","2012","11","Tamil Nadu","Salem","8.01","3.82","2.83","24.23","56.7","14.05","45.58","112.69","92.55","174.84","124.28","57.43"
"86","2013","11","Tamil Nadu","Salem","4.62","19.18","30.51","10.06","116.02","78.82","90.59","85.52","130.67","136.05","146.78","26.93"
"86","2014","11","Tamil Nadu","Salem","6.6","4.06","3.96","16.72","92.54","77.36","66.28","94.71","169.19","368.87","51.98","27.88"
"86","2015","11","Tamil Nadu","Salem","27.77","3.09","28.08","81.64","164.74","43.28","78.66","114.58","165.51","142.42","270.56","36.08"
"87","1990","11","Tamil Nadu","Coimbatore","52.95","2.26","15.35","7.97","112.47","84.35","186.04","81.98","61.12","224.4","135.51","24.88"
"87","1991","11","Tamil Nadu","Coimbatore","8.88","9.47","8.87","76.51","163.75","198.74","217.91","137.72","46.33","230.41","132.51","10.83"
"87","1992","11","Tamil Nadu","Coimbatore","2.25","0.01","0.0","43.95","88.04","130.69","239.93","139.06","88.43","179.46","219.79","20.97"
"87","1993","11","Tamil Nadu","Coimbatore","0.08","2.37","12.73","35.9","64.96","144.03","207.85","126.1","52.58","255.51","202.4","103.22"
"87","1994","11","Tamil Nadu","Coimbatore","2.45","12.3","22.34","115.26","192.3","250.99","148.48","108.61","59.66","291.51","113.73","19.67"
"87","1995","11","Tamil Nadu","Coimbatore","16.82","3.6","23.0","79.14","87.08","136.81","258.69","212.62","65.77","137.09","70.81","0.7"
"87","1996","11","Tamil Nadu","Coimbatore","8.78","8.14","24.21","80.17","51.41","139.39","203.02","119.29","90.29","132.81","24.36","79.67"
"87","1997","11","Tamil Nadu","Coimbatore","5.17","0.0","22.47","51.2","50.06","275.3","196.42","130.18","100.7","299.86","247.88","88.99"
"87","1998","11","Tamil Nadu","Coimbatore","4.35","14.73","5.49","50.02","127.49","62.3","317.5","236.29","124.04","210.47","147.34","166.63"
"87","1999","11","Tamil Nadu","Coimbatore","2.09","18.77","16.01","76.72","116.17","98.83","189.74","84.4","50.34","303.38","104.59","21.99"
"87","2000","11","Tamil Nadu","Coimbatore","13.95","36.49","2.35","70.22","81.4","79.75","159.1","284.02","152.09","172.06","113.08","99.15"
"87","2001","11","Tamil Nadu","Coimbatore","44.55","14.84","1.19","162.78","45.27","76.78","279.43","133.76","103.78","198.0","72.33","25.61"
"87","2002","11","Tamil Nadu","Coimbatore","1.85","2.95","10.03","22.02","88.91","113.81","96.22","95.41","48.95","356.07","127.19","10.96"
"87","2003","11","Tamil Nadu","Coimbatore","2.17","27.09","12.73","110.51","43.1","107.7","240.41","139.96","45.93","225.28","96.89","2.95"
"87","2004","11","Tamil Nadu","Coimbatore","8.73","5.59","8.68","65.14","160.1","128.91","233.85","108.53","160.56","211.42","90.19","11.37"
"87","2005","11","Tamil Nadu","Coimbatore","30.74","4.28","6.93","89.05","54.77","83.67","261.81","83.59","104.52","169.62","157.54","55.5"
"87","2006","11","Tamil Nadu","Coimbatore","8.76","0.41","67.64","33.63","74.28","107.78","178.09","121.69","187.61","271.58","116.15","2.25"
"87","2007","11","Tamil Nadu","Coimbatore","2.6","4.01","7.6","96.24","189.22","76.55","214.07","174.81","185.48","241.45","104.09","31.56"
"87","2008","11","Tamil Nadu","Coimbatore","1.8","33.11","118.76","85.15","30.1","110.19","257.48","233.92","114.26","350.81","89.33","30.5"
"87","2009","11","Tamil Nadu","Coimbatore","1.73","0.2","44.1","38.89","65.43","280.72","153.03","131.54","125.63","104.55","240.09","82.25"
"87","2010","11","Tamil Nadu","Coimbatore","14.32","3.78","2.39","99.66","111.55","66.76","337.84","103.57","150.55","286.77","212.07","61.2"
"87","2011","11","Tamil Nadu","Coimbatore","5.52","31.98","2.14","88.66","39.22","90.96","218.71","153.76","130.65","164.02","123.78","62.38"
"87","2012","11","Tamil Nadu","Coimbatore","3.26","15.38","6.22","67.95","34.51","47.86","138.98","139.42","75.79","135.4","129.49","31.2"
"87","2013","11","Tamil Nadu","Coimbatore","2.84","24.22","41.86","9.75","94.69","115.19","290.64","104.5","86.92","126.98","145.03","26.65"
"87","2014","11","Tamil Nadu","Coimbatore","6.85","3.33","7.61","49.63","72.22","93.11","253.33","168.2","206.57","316.63","71.38","25.58"
"87","2015","11","Tamil Nadu","Coimbatore","9.69","3.13","48.33","121.42","200.92","95.55","210.59","121.9","139.98","215.24","222.63","50.06"
"88","1990","11","Tamil Nadu","Tiruchirapalli Trichy","92.44","2.97","15.69","7.15","88.73","42.46","33.93","48.1","79.46","280.63","105.37","49.31"
"88","1991","11","Tamil Nadu","Tiruchirapalli Trichy","22.02","13.9","5.43","66.53","44.64","57.29","38.08","86.14","66.1","254.09","166.62","15.23"
"88","1992","11","Tamil Nadu","Tiruchirapalli Trichy","4.57","0.0","0.0","18.06","66.22","31.93","47.42","96.66","93.83","125.65","183.43","33.35"
"88","1993","11","Tamil Nadu","Tiruchirapalli Trichy","0.55","2.35","8.23","29.56","54.59","47.53","38.18","68.96","44.24","227.7","169.7","119.53"
"88","1994","11","Tamil Nadu","Tiruchirapalli Trichy","6.31","17.29","4.28","70.19","66.12","22.37","50.71","53.62","53.69","261.1","129.84","22.55"
