"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)"
"91","1993","11","Tamil Nadu","Ramananthapuram","58.65"
"91","1994","11","Tamil Nadu","Ramananthapuram","60.34"
"91","1995","11","Tamil Nadu","Ramananthapuram","48.63"
"91","1996","11","Tamil Nadu","Ramananthapuram","53.61"
"91","1997","11","Tamil Nadu","Ramananthapuram","62.62"
"91","1998","11","Tamil Nadu","Ramananthapuram","59.24"
"91","1999","11","Tamil Nadu","Ramananthapuram","53.64"
"91","2000","11","Tamil Nadu","Ramananthapuram","50.97"
"91","2001","11","Tamil Nadu","Ramananthapuram","54.01"
"91","2002","11","Tamil Nadu","Ramananthapuram","53.29"
"91","2003","11","Tamil Nadu","Ramananthapuram","54.04"
"91","2004","11","Tamil Nadu","Ramananthapuram","55.62"
"91","2005","11","Tamil Nadu","Ramananthapuram","53.84"
"91","2006","11","Tamil Nadu","Ramananthapuram","55.44"
"91","2007","11","Tamil Nadu","Ramananthapuram","52.83"
"91","2008","11","Tamil Nadu","Ramananthapuram","54.57"
"91","2009","11","Tamil Nadu","Ramananthapuram","54.65"
"91","2010","11","Tamil Nadu","Ramananthapuram","55.16"
"91","2011","11","Tamil Nadu","Ramananthapuram","52.91"
"91","2012","11","Tamil Nadu","Ramananthapuram","49.66"
"91","2013","11","Tamil Nadu","Ramananthapuram","48.88"
"91","2014","11","Tamil Nadu","Ramananthapuram","51.4"
"91","2015","11","Tamil Nadu","Ramananthapuram","49.88"
"91","2016","11","Tamil Nadu","Ramananthapuram","50.37"
"92","1990","11","Tamil Nadu","Thirunelveli","101.4"
"92","1991","11","Tamil Nadu","Thirunelveli","98.98"
"92","1992","11","Tamil Nadu","Thirunelveli","103.61"
"92","1993","11","Tamil Nadu","Thirunelveli","103.26"
"92","1994","11","Tamil Nadu","Thirunelveli","102.36"
"92","1995","11","Tamil Nadu","Thirunelveli","79.5"
"92","1996","11","Tamil Nadu","Thirunelveli","68.04"
"92","1997","11","Tamil Nadu","Thirunelveli","88.78"
"92","1998","11","Tamil Nadu","Thirunelveli","91.78"
"92","1999","11","Tamil Nadu","Thirunelveli","86.32"
"92","2000","11","Tamil Nadu","Thirunelveli","76.29"
"92","2001","11","Tamil Nadu","Thirunelveli","71.98"
"92","2002","11","Tamil Nadu","Thirunelveli","66.21"
"92","2003","11","Tamil Nadu","Thirunelveli","52.47"
"92","2004","11","Tamil Nadu","Thirunelveli","86.83"
"92","2005","11","Tamil Nadu","Thirunelveli","86.4"
"92","2006","11","Tamil Nadu","Thirunelveli","91.88"
"92","2007","11","Tamil Nadu","Thirunelveli","83.71"
"92","2008","11","Tamil Nadu","Thirunelveli","91.32"
"92","2009","11","Tamil Nadu","Thirunelveli","85.99"
"92","2010","11","Tamil Nadu","Thirunelveli","79.76"
"92","2011","11","Tamil Nadu","Thirunelveli","86.73"
"92","2012","11","Tamil Nadu","Thirunelveli","45.4"
"92","2013","11","Tamil Nadu","Thirunelveli","62.28"
