Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters)
88,2000,11,Tamil Nadu,Tiruchirapalli Trichy,15.2,10,0,37.8,34.7,1.3,36,114.8,169.8,101.2,187.3,55
88,2001,11,Tamil Nadu,Tiruchirapalli Trichy,2.1,0.1,0,44.8,25.1,8.8,54.3,27.6,106.8,95.9,100.6,46
88,2002,11,Tamil Nadu,Tiruchirapalli Trichy,0.1,44.5,0,2.6,65,68.1,3.3,38.9,76.3,151.6,54.7,10.7
88,2003,11,Tamil Nadu,Tiruchirapalli Trichy,0.7,0,23.5,19.5,84.6,34,52.5,167,116.5,217.4,181.5,13.7
88,2004,11,Tamil Nadu,Tiruchirapalli Trichy,1.8,0,0,7.1,272,19.7,88.3,6.3,243.4,225.1,138.9,0.9
88,2005,11,Tamil Nadu,Tiruchirapalli Trichy,0.2,0.7,20.8,126.4,93.8,2.9,80,72.2,89.8,330,376.3,152.3
88,2006,11,Tamil Nadu,Tiruchirapalli Trichy,11.4,0,41.4,31.8,79,31.5,0.6,104.9,156,166.3,126.4,11.2
88,2007,11,Tamil Nadu,Tiruchirapalli Trichy,0,1,0,46.2,83.4,50.8,36.1,140.2,36.7,179.4,47.4,259.9
88,2008,11,Tamil Nadu,Tiruchirapalli Trichy,8.4,22,111.2,15.6,66.9,4,108,85.2,61.9,168.6,353.3,53.7
88,2009,11,Tamil Nadu,Tiruchirapalli Trichy,7.6,0,3.6,19.2,28.8,21.1,8.4,109.4,92.4,32.4,269,83.9
88,2010,11,Tamil Nadu,Tiruchirapalli Trichy,7.5,0,0,1.7,131.5,62.3,46,81,124.5,128.1,282.2,97.9
