"Dist Code","Year","State Code","State Name","Dist Name","JANUARY ACTUAL (Millimeters)","FEBRUARY ACTUAL (Millimeters)","MARCH ACTUAL (Millimeters)","APRIL ACTUAL (Millimeters)","MAY ACTUAL (Millimeters)","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"87","2003","11","Tamil Nadu","Coimbatore","30.8","37.6","20.66","107.73","44.69","74.43","99.13","91.76","64.72","113.49","100.67","49.74"
"87","2004","11","Tamil Nadu","Coimbatore","31.62","17.81","15.03","66.0","130.73","80.08","100.03","81.39","105.23","111.15","94.56","54.39"
"87","2005","11","Tamil Nadu","Coimbatore","49.74","19.85","15.17","87.45","55.74","65.95","100.48","79.42","88.5","110.66","102.04","82.63"
"87","2006","11","Tamil Nadu","Coimbatore","43.39","20.36","70.75","39.05","73.8","76.36","89.49","83.17","109.89","115.29","101.8","59.79"
"87","2007","11","Tamil Nadu","Coimbatore","28.64","17.17","14.29","94.65","140.75","64.73","94.75","98.61","114.59","113.77","99.43","73.58"
"87","2008","11","Tamil Nadu","Coimbatore","31.97","44.54","106.74","86.06","36.69","76.77","101.95","106.74","94.99","111.92","96.73","68.7"
"87","2009","11","Tamil Nadu","Coimbatore","29.72","15.53","48.61","42.15","65.27","108.34","82.71","90.04","98.45","98.07","105.34","98.17"
"87","2010","11","Tamil Nadu","Coimbatore","56.49","26.7","14.87","99.3","105.9","57.35","103.22","85.39","105.88","112.97","100.02","85.43"
"87","2011","11","Tamil Nadu","Coimbatore","46.4","46.92","15.59","88.58","42.32","68.37","95.62","95.76","97.92","110.63","104.59","73.6"
"87","2012","11","Tamil Nadu","Coimbatore","35.14","31.24","16.36","69.09","36.66","45.01","82.25","88.74","71.6","112.14","107.78","47.77"
"87","2013","11","Tamil Nadu","Coimbatore","22.62","32.54","45.2","14.23","91.68","76.06","102.23","83.02","83.83","109.7","107.49","51.75"
"87","2014","11","Tamil Nadu","Coimbatore","31.69","16.97","14.68","51.42","70.93","74.58","100.02","96.21","119.65","111.27","91.11","61.34"
"87","2015","11","Tamil Nadu","Coimbatore","34.32","17.5","52.81","113.64","137.23","73.44","98.66","88.31","101.23","117.52","104.28","86.02"
"88","1990","11","Tamil Nadu","Tiruchirapalli Trichy","94.38","11.03","20.41","10.85","87.44","42.86","34.31","47.43","76.97","132.85","103.93","77.14"
"88","1991","11","Tamil Nadu","Tiruchirapalli Trichy","58.51","32.58","16.31","70.61","47.73","58.46","39.34","84.39","64.91","131.71","112.15","63.65"
"88","1992","11","Tamil Nadu","Tiruchirapalli Trichy","47.29","21.92","12.26","25.17","68.6","34.6","48.38","94.51","91.35","119.91","113.27","52.68"
"88","1993","11","Tamil Nadu","Tiruchirapalli Trichy","13.78","10.46","13.56","32.36","55.18","47.82","38.45","67.33","43.58","134.01","114.79","109.98"
"88","1994","11","Tamil Nadu","Tiruchirapalli Trichy","58.68","42.03","17.81","75.33","68.85","25.72","51.65","53.72","53.28","132.81","115.96","64.0"
"88","1995","11","Tamil Nadu","Tiruchirapalli Trichy","64.57","23.86","24.68","63.14","73.59","36.46","53.88","120.58","63.52","132.61","67.08","6.08"
"88","1996","11","Tamil Nadu","Tiruchirapalli Trichy","14.24","9.88","5.6","65.45","31.68","49.06","40.56","77.33","104.0","130.29","57.07","78.65"
"88","1997","11","Tamil Nadu","Tiruchirapalli Trichy","9.39","1.04","17.67","49.29","36.41","31.89","54.6","73.15","79.16","129.76","109.95","106.96"
"88","1998","11","Tamil Nadu","Tiruchirapalli Trichy","82.0","58.2","31.13","40.62","98.65","21.83","84.43","142.8","86.64","134.38","108.21","116.68"
"88","1999","11","Tamil Nadu","Tiruchirapalli Trichy","57.51","43.69","16.55","67.6","67.32","29.73","32.88","50.79","75.75","124.96","111.51","68.32"
"88","2000","11","Tamil Nadu","Tiruchirapalli Trichy","56.02","42.11","12.28","62.02","50.88","23.45","38.27","155.57","149.13","131.36","111.66","85.08"
"88","2001","11","Tamil Nadu","Tiruchirapalli Trichy","58.6","23.57","11.0","107.0","26.11","33.21","75.7","65.39","80.89","130.66","86.78","75.27"
"88","2002","11","Tamil Nadu","Tiruchirapalli Trichy","27.82","13.89","11.17","20.21","69.65","37.69","18.22","43.18","66.58","127.91","111.61","77.45"
"88","2003","11","Tamil Nadu","Tiruchirapalli Trichy","61.31","39.7","26.92","65.06","63.73","38.15","87.56","139.88","57.91","128.19","107.68","42.41"
"88","2004","11","Tamil Nadu","Tiruchirapalli Trichy","31.49","20.74","13.24","42.99","146.7","50.48","60.62","54.02","145.75","126.43","97.13","76.83"
"88","2005","11","Tamil Nadu","Tiruchirapalli Trichy","67.94","39.35","23.44","87.58","56.02","20.59","66.2","55.08","61.77","124.5","109.37","96.9"
"88","2006","11","Tamil Nadu","Tiruchirapalli Trichy","73.12","41.98","87.65","46.93","44.83","30.82","34.28","66.17","81.03","130.9","109.67","65.23"
"88","2007","11","Tamil Nadu","Tiruchirapalli Trichy","59.11","40.78","17.71","77.5","71.03","32.99","93.61","103.56","99.51","131.16","89.0","85.56"
"88","2008","11","Tamil Nadu","Tiruchirapalli Trichy","39.87","39.34","77.39","49.19","23.75","45.98","64.46","153.89","91.89","126.52","111.69","92.81"
"88","2009","11","Tamil Nadu","Tiruchirapalli Trichy","71.97","48.41","58.81","62.48","63.47","42.55","29.2","138.38","86.98","83.37","108.77","93.48"
"88","2010","11","Tamil Nadu","Tiruchirapalli Trichy","45.28","16.86","11.38","44.8","46.66","30.87","119.56","79.73","147.15","129.53","103.67","94.7"
"88","2011","11","Tamil Nadu","Tiruchirapalli Trichy","77.32","75.35","41.07","100.38","40.59","26.8","52.76","94.1","66.63","124.22","108.71","89.99"
"88","2012","11","Tamil Nadu","Tiruchirapalli Trichy","43.11","20.77","15.96","39.05","24.76","11.91","28.47","69.24","94.95","129.56","101.17","80.22"
"88","2013","11","Tamil Nadu","Tiruchirapalli Trichy","31.5","40.64","49.2","12.66","65.88","40.43","52.73","72.79","72.68","121.21","108.13","51.74"
"88","2014","11","Tamil Nadu","Tiruchirapalli Trichy","17.94","8.23","5.18","18.99","81.06","34.04","43.0","64.19","121.9","127.45","82.12","76.16"
"88","2015","11","Tamil Nadu","Tiruchirapalli Trichy","58.58","34.25","33.53","102.64","116.36","32.36","63.8","115.48","159.09","130.7","108.23","87.07"
"89","1990","11","Tamil Nadu","Thanjavur","117.53","49.86","60.27","34.87","88.47","64.81","42.17","59.17","78.1","132.78","108.46","106.44"
"89","1991","11","Tamil Nadu","Thanjavur","80.14","61.06","58.45","71.75","47.37","63.97","44.13","99.62","65.45","133.04","109.75","73.52"
"89","1992","11","Tamil Nadu","Thanjavur","61.93","47.05","41.78","37.64","74.01","40.37","54.78","140.65","88.97","112.77","109.98","94.21"
"89","1993","11","Tamil Nadu","Thanjavur","49.65","44.06","41.45","40.39","56.79","61.83","42.41","94.66","35.0","131.99","111.2","111.94"
"89","1994","11","Tamil Nadu","Thanjavur","83.28","85.54","81.45","89.79","82.77","38.58","61.32","65.58","50.12","131.86","113.82","83.39"
"89","1995","11","Tamil Nadu","Thanjavur","98.48","60.7","62.24","79.42","82.18","39.05","56.05","134.62","63.46","136.81","101.66","25.33"
"89","1996","11","Tamil Nadu","Thanjavur","27.79","18.11","6.92","74.56","23.06","58.68","44.05","96.45","129.47","130.48","104.93","108.24"
"89","1997","11","Tamil Nadu","Thanjavur","43.6","27.2","40.32","55.5","39.48","30.92","73.35","89.99","64.8","127.7","105.69","109.61"
"89","1998","11","Tamil Nadu","Thanjavur","92.63","79.99","85.01","72.38","108.17","36.64","93.37","155.48","77.39","135.34","106.6","111.0"
"89","1999","11","Tamil Nadu","Thanjavur","88.54","88.04","75.05","93.64","74.96","48.77","37.12","66.79","80.53","126.25","113.1","87.54"
"89","2000","11","Tamil Nadu","Thanjavur","75.23","64.62","41.35","68.04","43.49","30.07","37.96","166.47","149.03","131.42","114.65","108.85"
"89","2001","11","Tamil Nadu","Thanjavur","85.3","55.77","56.2","106.47","43.4","54.43","88.99","74.78","65.06","129.9","105.08","108.0"
"89","2002","11","Tamil Nadu","Thanjavur","61.42","45.91","39.85","36.81","63.49","41.14","20.13","53.18","69.12","128.32","109.7","105.62"
