"Dist Code","Year","State Code","State Name","Dist Name","JANUARY WATER DEFICIT (Millimeters)","FEBRUARY WATER DEFICIT (Millimeters)","MARCH WATER DEFICIT (Millimeters)","APRIL WATER DEFICIT (Millimeters)","MAY WATER DEFICIT (Millimeters)","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"87","1998","11","Tamil Nadu","Coimbatore","75.6","106.21","161.65","103.83","35.2","78.94","12.52","14.43","28.91","0.0","0.09"
"87","1999","11","Tamil Nadu","Coimbatore","54.83","95.57","143.94","91.97","44.53","55.05","28.73","53.28","69.84","0.0","5.06"
"87","2000","11","Tamil Nadu","Coimbatore","86.84","87.97","157.61","87.33","74.89","63.92","32.25","11.33","18.52","0.03","5.02"
"87","2001","11","Tamil Nadu","Coimbatore","55.49","95.46","149.3","6.97","98.15","63.51","16.99","36.38","38.5","0.0","16.05"
"87","2002","11","Tamil Nadu","Coimbatore","99.57","123.72","153.34","132.71","70.62","48.01","49.67","51.11","74.51","0.0","0.63"
"87","2003","11","Tamil Nadu","Coimbatore","96.29","101.08","149.16","45.83","109.63","51.73","21.02","35.55","66.56","0.0","9.33"
"87","2004","11","Tamil Nadu","Coimbatore","94.25","114.05","156.98","87.14","10.87","44.84","19.2","41.12","17.49","0.0","8.57"
"87","2005","11","Tamil Nadu","Coimbatore","72.86","114.05","149.83","58.63","91.82","60.59","17.84","44.65","38.62","0.0","0.0"
"87","2006","11","Tamil Nadu","Coimbatore","76.88","109.85","92.53","114.5","71.84","43.79","29.63","39.74","12.65","0.0","2.47"
"87","2007","11","Tamil Nadu","Coimbatore","93.36","116.54","156.2","57.81","6.38","59.59","20.98","24.26","13.98","0.0","4.66"
"87","2008","11","Tamil Nadu","Coimbatore","85.61","89.04","53.66","66.55","111.69","47.44","15.98","14.69","31.32","0.0","9.61"
"87","2009","11","Tamil Nadu","Coimbatore","93.2","119.22","115.37","113.49","86.59","19.92","32.34","35.07","28.71","18.55","0.0"
"87","2010","11","Tamil Nadu","Coimbatore","68.25","109.37","159.64","57.23","40.5","63.51","11.2","37.58","20.65","0.0","0.0"
"87","2011","11","Tamil Nadu","Coimbatore","74.21","81.76","152.3","61.92","110.43","59.16","22.48","27.6","28.86","0.0","1.6"
"87","2012","11","Tamil Nadu","Coimbatore","84.51","105.14","158.32","82.82","115.09","79.72","37.16","34.36","56.68","1.85","0.16"
"87","2013","11","Tamil Nadu","Coimbatore","105.36","104.98","126.0","142.56","59.05","44.88","15.63","41.44","43.28","7.54","0.0"
"87","2014","11","Tamil Nadu","Coimbatore","102.62","120.61","163.26","108.35","75.83","56.64","19.39","26.99","8.34","0.0","13.74"
"87","2015","11","Tamil Nadu","Coimbatore","87.55","119.75","117.73","31.46","1.41","49.33","25.0","38.77","27.93","0.0","0.0"
"88","1990","11","Tamil Nadu","Tiruchirapalli Trichy","36.36","133.17","163.21","173.24","104.58","142.82","145.59","122.78","81.9","0.0","6.58"
"88","1991","11","Tamil Nadu","Tiruchirapalli Trichy","76.92","110.39","163.46","109.83","135.98","121.7","147.31","92.93","94.53","0.0","0.0"
"88","1992","11","Tamil Nadu","Tiruchirapalli Trichy","90.39","118.74","164.92","159.68","119.58","148.66","129.18","81.94","67.57","13.74","0.0"
"88","1993","11","Tamil Nadu","Tiruchirapalli Trichy","122.87","135.53","172.09","155.0","143.63","138.35","149.89","111.65","119.51","0.0","0.0"
"88","1994","11","Tamil Nadu","Tiruchirapalli Trichy","81.08","104.5","175.22","103.06","128.87","168.12","126.3","123.0","109.94","0.0","2.04"
"88","1995","11","Tamil Nadu","Tiruchirapalli Trichy","77.67","124.16","163.43","117.25","116.63","155.15","126.27","51.34","100.93","6.51","48.19"
"88","1996","11","Tamil Nadu","Tiruchirapalli Trichy","131.9","147.2","189.22","113.1","176.28","129.03","136.54","95.42","52.72","0.92","54.07"
"88","1997","11","Tamil Nadu","Tiruchirapalli Trichy","124.49","132.9","162.91","119.89","145.84","148.33","129.7","106.1","80.29","0.0","0.0"
"88","1998","11","Tamil Nadu","Tiruchirapalli Trichy","56.4","92.81","161.37","146.22","92.0","173.65","83.78","18.22","70.69","0.0","0.0"
"88","1999","11","Tamil Nadu","Tiruchirapalli Trichy","78.26","103.99","161.88","120.78","121.81","157.28","147.53","119.62","86.48","0.0","3.33"
"88","2000","11","Tamil Nadu","Tiruchirapalli Trichy","79.81","96.66","163.46","114.17","138.46","160.48","142.05","10.72","0.0","0.0","4.56"
"88","2001","11","Tamil Nadu","Tiruchirapalli Trichy","72.77","108.58","165.59","55.45","175.99","157.7","103.99","114.87","73.62","0.0","20.38"
"88","2002","11","Tamil Nadu","Tiruchirapalli Trichy","103.14","129.34","164.49","153.51","133.37","139.97","166.51","137.01","96.23","0.0","0.47"
"88","2003","11","Tamil Nadu","Tiruchirapalli Trichy","78.96","105.57","154.2","113.08","134.96","144.7","81.38","23.33","105.57","0.0","3.83"
"88","2004","11","Tamil Nadu","Tiruchirapalli Trichy","103.36","100.63","167.84","138.68","24.87","124.37","102.29","115.7","0.0","0.0","12.75"
"88","2005","11","Tamil Nadu","Tiruchirapalli Trichy","66.77","100.63","156.32","72.52","121.13","160.18","105.84","110.15","93.0","0.0","0.0"
"88","2006","11","Tamil Nadu","Tiruchirapalli Trichy","56.01","93.02","80.16","125.67","137.73","133.14","142.12","101.51","69.17","0.0","0.72"
"88","2007","11","Tamil Nadu","Tiruchirapalli Trichy","73.82","95.06","155.01","91.48","108.08","126.99","66.65","50.73","57.46","0.0","20.76"
"88","2008","11","Tamil Nadu","Tiruchirapalli Trichy","85.0","91.91","84.42","114.88","158.54","125.1","95.52","0.0","62.44","0.0","0.01"
"88","2009","11","Tamil Nadu","Tiruchirapalli Trichy","56.35","84.93","111.47","115.41","122.88","135.76","144.95","25.29","70.25","53.56","0.0"
"88","2010","11","Tamil Nadu","Tiruchirapalli Trichy","84.32","117.83","163.32","133.2","128.99","130.31","47.12","80.13","0.0","0.0","0.0"
"88","2011","11","Tamil Nadu","Tiruchirapalli Trichy","51.98","58.05","131.82","64.94","144.55","162.7","126.65","71.99","97.11","0.0","0.07"
"88","2012","11","Tamil Nadu","Tiruchirapalli Trichy","82.78","117.18","163.37","137.02","160.56","173.66","146.92","101.37","69.77","0.0","10.83"
"88","2013","11","Tamil Nadu","Tiruchirapalli Trichy","105.42","101.42","129.24","170.47","131.22","151.93","135.96","92.94","85.72","15.29","3.56"
"88","2014","11","Tamil Nadu","Tiruchirapalli Trichy","139.6","129.09","177.86","164.68","99.26","152.04","145.06","102.22","36.93","0.0","27.95"
"88","2015","11","Tamil Nadu","Tiruchirapalli Trichy","71.01","108.07","145.84","67.77","52.85","134.73","117.29","50.42","0.78","0.0","0.0"
"89","1990","11","Tamil Nadu","Thanjavur","4.72","86.56","113.36","140.11","99.56","120.11","134.05","103.72","76.24","0.0","0.02"
"89","1991","11","Tamil Nadu","Thanjavur","45.81","71.4","110.02","99.53","131.82","115.51","138.87","71.17","89.75","0.0","0.0"
"89","1992","11","Tamil Nadu","Thanjavur","66.0","82.89","123.52","135.52","108.73","138.1","116.02","28.94","65.07","19.46","0.0"
"89","1993","11","Tamil Nadu","Thanjavur","76.79","91.35","132.65","132.94","137.88","121.34","142.48","78.69","124.99","0.0","0.0"
"89","1994","11","Tamil Nadu","Thanjavur","45.71","50.1","97.05","79.02","113.44","152.42","115.3","108.14","109.71","0.0","0.0"
"89","1995","11","Tamil Nadu","Thanjavur","32.25","76.13","112.3","89.27","102.63","154.45","120.75","35.48","98.81","1.18","10.23"
"89","1996","11","Tamil Nadu","Thanjavur","105.87","126.51","173.83","92.06","184.53","115.57","129.57","68.63","24.3","0.0","3.52"
"89","1997","11","Tamil Nadu","Thanjavur","80.59","100.69","132.5","104.63","139.01","152.9","109.21","86.1","95.68","0.0","0.0"
"89","1998","11","Tamil Nadu","Thanjavur","37.02","61.59","96.24","105.36","77.59","159.17","68.67","0.94","80.23","0.0","0.0"
"89","1999","11","Tamil Nadu","Thanjavur","40.55","52.5","95.07","85.13","114.52","137.66","140.24","102.9","81.53","0.0","0.0"
"89","2000","11","Tamil Nadu","Thanjavur","52.51","65.19","126.2","104.44","143.64","150.88","137.5","0.0","0.0","0.54","0.0"
"89","2001","11","Tamil Nadu","Thanjavur","39.4","69.39","114.32","51.34","156.87","133.29","83.72","99.91","90.98","0.0","0.73"
"89","2002","11","Tamil Nadu","Thanjavur","61.4","89.66","127.72","126.97","134.48","130.53","156.49","121.85","92.19","0.0","0.0"
"89","2003","11","Tamil Nadu","Thanjavur","52.77","65.07","96.9","89.86","110.82","129.18","53.21","0.06","78.64","0.0","0.0"
"89","2004","11","Tamil Nadu","Thanjavur","65.05","64.75","122.64","120.47","38.02","110.94","102.02","93.14","0.0","0.0","0.34"
"89","2005","11","Tamil Nadu","Thanjavur","43.93","64.75","100.85","57.55","107.83","149.28","99.82","97.59","107.46","0.0","0.0"
"89","2006","11","Tamil Nadu","Thanjavur","28.02","56.41","38.92","77.39","107.95","108.59","122.23","70.46","94.61","0.0","0.0"
"89","2007","11","Tamil Nadu","Thanjavur","45.03","56.76","97.56","73.32","104.51","103.2","47.86","26.5","82.32","0.0","1.68"
"89","2008","11","Tamil Nadu","Thanjavur","55.5","62.05","55.54","91.33","148.9","110.34","98.23","0.0","54.78","0.0","0.0"
"89","2009","11","Tamil Nadu","Thanjavur","37.68","54.53","62.34","73.55","98.65","125.58","133.17","0.09","75.63","43.59","0.0"
"89","2010","11","Tamil Nadu","Thanjavur","43.19","64.02","97.97","104.2","116.8","116.13","19.47","46.07","0.0","0.0","0.0"
"89","2011","11","Tamil Nadu","Thanjavur","33.44","38.0","80.31","45.19","109.35","132.87","107.22","53.64","108.93","0.0","0.0"
